"ITE001001"	"BC-H-001001"
"ITE001002"	"BC-H-001002"
"ITE001002"	"BC-H-001002"
"ITE001003"	"ABC001003"
"ITE001004"	"ABC001004"
"ITE001005"	"ABC001005"
"ITE001006"	"ABC001006"
"ITE001007"	"ABC001007"
"ITE001008"	"ABC001008"
"ITE001009"	"BC-H-001009"
"ITE001010"	"ABC001010"
"ITE001011"	"ABC001011"
"ITE001012"	"ABC001012"
"ITE001013"	"ABC001013"
"ITE001014"	"ABC001014"
"ITE001015"	"ABC001015"
"ITE001016"	"ABC001016"
"ITE001017"	"ABC001017"
"ITE001018"	"ABC001018"
"ITE001019"	"BC-H-001019"
"ITE001008"	"DBC001008"
"ITE001020"	"ABC001020"
"ITE001021"	"ABC001021"
"ITE001022"	"BC-H-001022"
"ITE001023"	"ABC001023"
"ITE001024"	"ABC001024"
"ITE001025"	"BC-H-001025"
"ITE001026"	"ABC001026"
"ITE001027"	"ABC001027"
"ITE001028"	"ABC001028"
"ITE001029"	"ABC001029"
"ITE001030"	"ABC001030"
"ITE001031"	"ABC001031"
"ITE001032"	"ABC001032"
"ITE001033"	"ABC001033"
"ITE001034"	"ABC001034"
"ITE001035"	"ABC001035"
"ITE001036"	"ABC001036"
"ITE001037"	"ABC001037"
"ITE001038"	"ABC001038"
"ITE001039"	"ABC001039"
"ITE001040"	"ABC001040"
"ITE001041"	"ABC001041"
"ITE001042"	"ABC001042"
"ITE001043"	"ABC001043"
"ITE001044"	"ABC001044"
"ITE001045"	"ABC001045"
"ITE001046"	"ABC001046"
"ITE001047"	"BC-H-001047"
"ITE001048"	"ABC001048"
"ITE001049"	"BC-H-001049"
"ITE001050"	"ABC001050"
"ITE001051"	"BC-H-001051"
"ITE001052"	"BC-H-001052"
"ITE001053"	"ABC001053"
"ITE001054"	"ABC001054"
"ITE001055"	"ABC001055"
"ITE001056"	"ABC001056"
"ITE001057"	"ABC001057"
"ITE001058"	"ABC001058"
"ITE001059"	"ABC001059"
"ITE001060"	"ABC001060"
"ITE001061"	"ABC001061"
"ITE001062"	"ABC001062"
"ITE001063"	"ABC001063"
"ITE001064"	"ABC001064"
"ITE001065"	"ABC001065"
"ITE001066"	"ABC001066"
"ITE001067"	"ABC001067"
"ITE001068"	"ABC001068"
"ITE001069"	"ABC001069"
"ITE001070"	"ABC001070"
"ITE001071"	"ABC001071"
"ITE001072"	"ABC001072"
"ITE001073"	"ABC001073"
"ITE001074"	"ABC001074"
"ITE001075"	"ABC001075"
"ITE001076"	"ABC001076"
"ITE001077"	"BC-H-001077"
"ITE001078"	"ABC001078"
"ITE001079"	"ABC001079"
"ITE001080"	"ABC001080"
"ITE001081"	"ABC001081"
"ITE001082"	"ABC001082"
"ITE001083"	"ABC001083"
"ITE001084"	"ABC001084"
"ITE001085"	"ABC001085"
"ITE001086"	"ABC001086"
"ITE001087"	"ABC001087"
"ITE001088"	"ABC001088"
"ITE001089"	"ABC001089"
"ITE001090"	"ABC001090"
"ITE001091"	"ABC001091"
"ITE001092"	"ABC001092"
"ITE001093"	"BC-H-001093"
"ITE001094"	"ABC001094"
"ITE001095"	"ABC001095"
"ITE001096"	"ABC001096"
"ITE001097"	"ABC001097"
"ITE001098"	"ABC001098"
"ITE001099"	"ABC001099"
"ITE001100"	"ABC001100"
"ITE001101"	"ABC001101"
"ITE001102"	"ABC001102"
