ITE001001,ABC001001,H,B,F,
ITE001002,DBC001002,H,C,L,I
ITE001002,ABC001002,H,C,L,I
ITE001003,ABC001003,L,G,D,J
ITE001004,ABC001004,L,B,M,H
ITE001005,ABC001005,J,E,L,
ITE001006,ABC001006,A,D,,
ITE001007,ABC001007,C,I,C,
ITE001008,ABC001008,I,N,J,J
ITE001009,ABC001009,H,N,A,
ITE001010,ABC001010,C,G,,L
ITE001011,ABC001011,B,A,I,N
ITE001012,ABC001012,N,L,C,I
ITE001013,ABC001013,N,J,D,
ITE001014,ABC001014,D,I,N,
ITE001015,ABC001015,L,N,F,
ITE001016,ABC001016,E,H,N,
ITE001017,ABC001017,I,H,B,N
ITE001018,ABC001018,M,B,D,G
ITE001019,ABC001019,H,F,F,
ITE001008,DBC001008,I,N,J,J
ITE001020,ABC001020,G,L,L,L
ITE001021,ABC001021,N,M,A,G
ITE001022,ABC001022,H,I,I,H
ITE001023,ABC001023,L,F,E,N
ITE001024,ABC001024,A,M,G,
ITE001025,ABC001025,H,C,,L
ITE001026,ABC001026,M,A,N,H
ITE001027,ABC001027,M,I,F,
ITE001028,ABC001028,J,L,H,M
ITE001029,ABC001029,L,J,L,I
ITE001030,ABC001030,J,F,M,
ITE001031,ABC001031,C,C,J,
ITE001032,ABC001032,M,B,L,
ITE001033,ABC001033,N,I,D,J
ITE001034,ABC001034,G,H,E,J
ITE001035,ABC001035,L,L,H,
ITE001036,ABC001036,J,C,N,
ITE001037,ABC001037,C,D,M,G
ITE001038,ABC001038,J,M,D,H
ITE001039,ABC001039,F,I,J,M
ITE001040,ABC001040,I,M,I,H
ITE001041,ABC001041,E,B,D,
ITE001042,ABC001042,F,F,N,I
ITE001036,DBC001036,J,C,N,
ITE001043,ABC001043,A,I,H,L
ITE001044,ABC001044,G,D,H,H
ITE001045,ABC001045,B,M,L,
ITE001046,ABC001046,C,N,G,
ITE001047,ABC001047,H,J,E,G
ITE001048,ABC001048,J,F,G,
ITE001049,ABC001049,H,E,,
ITE001018,DBC001018,M,B,D,G
ITE001050,ABC001050,E,M,G,L
ITE001002,DDC001002,H,C,L,N
ITE001051,ABC001051,H,M,J,
ITE001052,ABC001052,H,B,B,N
ITE001053,ABC001053,I,B,N,J
ITE001054,ABC001054,L,H,,
ITE001055,ABC001055,J,E,J,
ITE001056,ABC001056,D,G,E,
ITE001057,ABC001057,D,E,I,
ITE001058,ABC001058,M,D,I,
ITE001059,ABC001059,N,N,,
ITE001060,ABC001060,M,C,L,G
ITE001061,ABC001061,C,L,F,H
ITE001062,ABC001062,J,G,H,N
ITE001063,ABC001063,F,G,E,
ITE001064,ABC001064,E,F,G,
ITE001065,ABC001065,F,I,I,I
ITE001066,ABC001066,N,B,F,L
ITE001067,ABC001067,C,M,D,G
ITE001068,ABC001068,I,G,L,I
ITE001069,ABC001069,M,D,M,
ITE001070,ABC001070,M,I,B,M
ITE001071,ABC001071,D,J,H,H
ITE001072,ABC001072,F,J,,
ITE001073,ABC001073,M,M,E,N
ITE001074,ABC001074,M,H,E,M
ITE001075,ABC001075,B,B,M,J
ITE001076,ABC001076,J,B,J,N
ITE001077,ABC001077,H,H,N,L
ITE001078,ABC001078,E,N,H,N
ITE001079,ABC001079,B,G,B,
ITE001080,ABC001080,M,E,F,G
ITE001081,ABC001081,N,I,N,G
ITE001082,ABC001082,D,E,H,
ITE001083,ABC001083,A,C,J,J
ITE001084,ABC001084,A,B,M,M
ITE001085,ABC001085,F,D,G,H
ITE001086,ABC001086,G,L,D,N
ITE001087,ABC001087,N,B,C,H
ITE001088,ABC001088,M,I,L,I
ITE001089,ABC001089,F,N,G,
ITE001090,ABC001090,G,J,M,
ITE001091,ABC001091,A,H,J,
ITE001092,ABC001092,F,C,C,I
ITE001093,ABC001093,H,D,I,M
ITE001094,ABC001094,M,M,E,H
ITE001095,ABC001095,B,G,E,H
ITE001096,ABC001096,F,B,D,G
ITE001097,ABC001097,G,M,J,I
ITE001098,ABC001098,C,H,G,H
ITE001099,ABC001099,N,H,C,
ITE001100,ABC001100,I,J,B,
ITE001101,ABC001101,I,F,I,
ITE001102,ABC001102,N,G,D,H
ITE001103,ABC001103,A,G,H,
ITE001104,ABC001104,I,A,L,
ITE001105,ABC001105,J,M,L,N
ITE001106,ABC001106,C,B,B,G
ITE001107,ABC001107,A,H,B,I
ITE001108,ABC001108,G,H,F,
ITE001109,ABC001109,D,I,L,H
ITE001110,ABC001110,E,J,G,
ITE001111,ABC001111,G,H,D,
ITE001112,ABC001112,N,H,D,N
ITE001113,ABC001113,F,H,L,M
ITE001114,ABC001114,A,M,J,L
ITE001115,ABC001115,I,L,N,M
ITE001116,ABC001116,B,M,A,
ITE001117,ABC001117,I,E,J,N
ITE001118,ABC001118,G,G,E,
ITE001119,ABC001119,E,D,C,
ITE001120,ABC001120,H,B,C,
ITE001121,ABC001121,I,I,L,J
ITE001122,ABC001122,N,N,C,
ITE001123,ABC001123,G,N,J,M
ITE001124,ABC001124,M,N,J,
ITE001125,ABC001125,I,G,N,
ITE001126,ABC001126,D,I,I,J
ITE001127,ABC001127,E,C,M,G
ITE001128,ABC001128,A,B,C,I
ITE001129,ABC001129,N,N,D,G
ITE001130,ABC001130,L,I,I,N
ITE001131,ABC001131,M,D,A,G
ITE001132,ABC001132,B,I,B,
ITE001133,ABC001133,J,M,N,M
ITE001134,ABC001134,C,B,,
ITE001135,ABC001135,M,I,E,
ITE001136,ABC001136,A,M,F,L
ITE001137,ABC001137,H,C,A,
ITE001138,ABC001138,M,G,F,I
ITE001139,ABC001139,E,F,F,
ITE001140,ABC001140,E,I,A,J
ITE001141,ABC001141,D,L,,H
